,0
1871,3
1872,5
1873,5
1874,6
1875,6
1876,7
1877,8
1878,8
1879,8
1880,8
1881,7
1882,6
1883,5
1884,4
1885,3
1886,1
1887,128
1888,131
1889,132
1890,133
1891,134
1892,137
1893,139
1894,140
1895,139
1896,138
1897,138
1898,138
1899,138
1900,136
1901,133
1902,130
1903,129
1904,128
1905,0
1906,3
1907,5
1908,6
1909,7
1910,7
1911,7
1912,7
1913,7
1914,7
1915,7
1916,6
1917,5
1918,4
1919,3
1920,3
1921,2
1922,0
1923,129
1924,129
1925,128
1926,128
1927,128
1928,129
1929,129
1930,129
1931,128
1932,128
1933,130
1934,132
1935,133
1936,133
1937,133
1938,134
1939,134
1940,134
1941,133
1942,132
1943,131
1944,131
1945,130
1946,129
1947,128
1948,0
1949,1
1950,2
1951,3
1952,4
1953,5
1954,6
1955,7
1956,8
1957,8
1958,8
1959,8
1960,9
1961,9
1962,9
1963,8
1964,7
1965,6
1966,5
1967,3
1968,0
1969,130
1970,132
1971,134
1972,135
1973,138
1974,140
1975,141
1976,142
1977,142
1978,142
1979,141
1980,141
1981,139
1982,137
1983,134
1984,132
1985,129
1986,1
1987,3
1988,5
1989,6
1990,8
1991,9
1992,10
1993,10
1994,9
1995,9
1996,9
1997,8
1998,7
1999,7
2000,6
2001,5
2002,4
2003,4
2004,3
2005,1
2006,0
2007,0
2008,129
2009,130
2010,131
2011,131
2012,131
2013,132
2014,133
2015,133
2016,133
2017,133
2018,134
2019,135
2020,136
2021,136
2022,134
2023,132
2024,132
2025,132
2026,132
2027,130
2028,128
2029,128
2030,129
2031,128
2032,1
2033,5
2034,6
2035,3
2036,1
2037,2
2038,4
2039,6
2040,6
2041,7
2042,9
2043,9
2044,8
2045,7
2046,5
2047,5
2048,6
2049,6
2050,5
2051,3
2052,2
2053,131
2054,135
2055,138
2056,137
2057,138
2058,140
2059,141
2060,139
2061,138
2062,135
2063,133
2064,134
2065,136
2066,132
2067,2
2068,8
2069,8
2070,8
2071,8
2072,8
2073,6
2074,5
2075,4
2076,2
2077,0
2078,128
2079,128
2080,0
2081,2
2082,128
2083,133
2084,134
2085,129
2086,6
2087,11
2088,15
2089,13
2090,8
2091,1
2092,133
2093,145
2094,153
2095,160
2096,162
2097,161
2098,160
2099,156
2100,152
2101,148
2102,141
2103,0
2104,13
2105,22
2106,30
2107,36
2108,40
2109,45
2110,48
2111,48
2112,47
2113,43
2114,38
2115,29
2116,8
2117,151
2118,164
2119,170
2120,173
2121,172
2122,169
2123,166
2124,163
2125,161
2126,161
2127,162
2128,162
2129,162
2130,161
2131,156
2132,146
2133,4
2134,22
2135,32
2136,35
2137,35
2138,33
2139,26
2140,17
2141,4
2142,0
2143,6
2144,19
2145,32
2146,40
2147,47
2148,50
2149,51
2150,50
2151,47
2152,38
2153,21
2154,146
2155,165
2156,173
2157,177
2158,181
2159,187
2160,193
2161,197
2162,200
2163,201
2164,197
2165,190
2166,166
2167,49
2168,70
2169,81
2170,84
2171,85
2172,83
2173,80
2174,71
2175,62
2176,45
2177,8
2178,162
2179,173
2180,178
2181,180
2182,184
2183,191
2184,196
2185,201
2186,205
2187,207
2188,208
2189,206
2190,202
2191,198
2192,195
2193,193
2194,193
2195,194
2196,195
2197,195
2198,190
2199,175
2200,37
2201,66
2202,80
2203,86
2204,91
2205,94
2206,93
2207,90
2208,85
2209,80
2210,72
2211,64
2212,52
2213,34
2214,147
2215,173
2216,184
2217,193
2218,199
2219,203
2220,207
2221,208
2222,206
2223,202
2224,195
2225,183
2226,156
2227,38
2228,52
2229,56
2230,54
2231,48
2232,26
2233,157
2234,174
2235,181
2236,186
2237,187
2238,186
2239,184
2240,181
2241,176
2242,165
2243,2
2244,46
2245,63
2246,72
2247,80
2248,83
2249,85
2250,85
2251,83
2252,78
2253,67
2254,46
2255,164
2256,189
2257,199
2258,207
2259,211
2260,214
2261,217
2262,219
2263,219
2264,218
2265,216
2266,212
2267,207
2268,196
2269,178
2270,25
2271,56
2272,68
2273,74
2274,79
2275,81
2276,83
2277,84
2278,85
2279,85
2280,86
2281,85
2282,84
2283,81
2284,77
2285,70
2286,59
2287,38
2288,160
2289,181
2290,191
2291,194
2292,196
2293,196
2294,196
2295,194
2296,193
2297,192
2298,189
2299,186
2300,182
2301,178
2302,170
2303,159
2304,136
2305,18
2306,28
2307,32
2308,28
2309,17
2310,143
2311,163
2312,175
2313,180
2314,184
2315,186
2316,184
2317,179
2318,165
2319,16
2320,49
2321,62
2322,69
2323,73
2324,76
2325,76
2326,74
2327,70
2328,64
2329,49
2330,132
2331,178
2332,193
2333,201
2334,208
2335,211
2336,214
2337,215
2338,215
2339,214
2340,211
2341,208
2342,199
2343,189
2344,167
2345,32
2346,54
2347,65
2348,71
2349,77
2350,81
2351,84
2352,86
2353,88
2354,89
2355,88
2356,87
2357,84
2358,80
2359,71
2360,61
2361,39
2362,157
2363,180
2364,190
2365,195
2366,197
2367,199
2368,200
2369,200
2370,200
2371,199
2372,197
2373,194
2374,190
2375,182
2376,170
2377,147
2378,23
2379,36
2380,41
2381,39
2382,33
2383,11
2384,156
2385,172
2386,180
2387,185
2388,187
2389,186
2390,181
2391,171
2392,141
2393,40
2394,56
2395,65
2396,70
2397,72
2398,73
2399,71
2400,68
2401,64
2402,53
2403,32
2404,161
2405,181
2406,193
2407,199
2408,205
2409,209
2410,211
2411,212
2412,212
2413,211
2414,209
2415,205
2416,198
2417,189
2418,170
2419,18
2420,48
2421,59
2422,66
2423,70
2424,74
2425,78
2426,81
2427,82
2428,84
2429,85
2430,86
2431,86
2432,84
2433,82
2434,78
2435,70
2436,59
2437,36
2438,166
2439,186
2440,195
2441,200
2442,203
2443,205
2444,205
2445,204
2446,202
2447,200
2448,197
2449,193
2450,188
2451,181
2452,170
2453,151
2454,19
2455,37
2456,44
2457,46
2458,42
2459,34
2460,11
2461,158
2462,172
2463,178
2464,180
2465,178
2466,169
2467,140
2468,39
2469,56
2470,65
2471,70
2472,72
2473,72
2474,71
2475,66
2476,57
2477,40
2478,149
2479,179
2480,192
2481,198
2482,203
2483,208
2484,209
2485,210
2486,210
2487,210
2488,208
2489,204
2490,198
2491,191
2492,178
2493,154
2494,33
2495,51
2496,61
2497,67
2498,72
2499,77
2500,81
2501,83
2502,84
2503,85
2504,85
2505,85
2506,83
2507,81
2508,77
2509,71
2510,66
2511,56
2512,42
2513,3
2514,168
2515,182
2516,192
2517,196
2518,200
2519,203
2520,205
2521,205
2522,203
2523,200
2524,197
2525,192
2526,184
2527,176
2528,164
2529,149
2530,132
2531,1
2532,132
2533,144
2534,151
2535,159
2536,161
2537,160
2538,150
2539,6
2540,33
2541,48
2542,56
2543,63
2544,67
2545,69
2546,69
2547,68
2548,66
2549,61
2550,52
2551,33
2552,157
2553,179
2554,191
2555,197
2556,202
2557,206
2558,208
2559,209
2560,209
2561,208
2562,206
2563,202
2564,197
2565,191
2566,179
2567,159
2568,28
2569,49
2570,58
2571,65
2572,70
2573,74
2574,79
2575,81
2576,83
2577,85
2578,85
2579,85
2580,84
2581,82
2582,79
2583,72
2584,65
2585,53
2586,29
2587,160
2588,178
2589,186
2590,192
2591,194
2592,196
2593,198
2594,199
2595,200
2596,200
2597,199
2598,198
2599,195
2600,192
2601,186
2602,180
2603,172
2604,163
2605,156
2606,154
2607,157
2608,162
2609,167
2610,168
2611,164
2612,148
2613,26
2614,48
2615,59
2616,67
2617,71
2618,74
2619,75
2620,73
2621,69
2622,63
2623,50
2624,18
2625,170
2626,185
2627,195
2628,200
2629,204
2630,207
2631,208
2632,208
2633,208
2634,207
2635,204
2636,201
2637,197
2638,192
2639,184
2640,174
2641,149
2642,33
2643,50
2644,61
2645,68
2646,74
2647,79
2648,82
2649,84
2650,85
2651,86
2652,86
2653,84
2654,82
2655,79
2656,73
2657,66
2658,56
2659,37
2660,148
2661,176
2662,185
2663,192
2664,195
2665,198
2666,199
2667,200
2668,200
2669,199
2670,198
2671,196
2672,193
2673,190
2674,184
2675,179
2676,174
2677,169
2678,167
2679,168
2680,170
2681,173
2682,173
2683,168
2684,154
2685,22
2686,48
2687,59
2688,67
2689,72
2690,75
2691,76
2692,75
2693,71
2694,65
2695,51
2696,17
2697,172
2698,187
